# this was run on 2017-10-07 using the wdmerger problem in 3-d on
# titan with the PGI 17.7 compilers.

# problem size: 256^3.
# single level

# MPI    OMP    cores     nodes     max_grid    max_level    avg-time-per-step    stddev
  256     1      256        16         32          0               9.64843        0.0564946
  512     1      512        32         32          0               4.96933        0.0271702
  512     2     1024        64         32          0               2.69029        0.0417153
  512     4     2048       128         32          0               1.59607        0.0281456
 1024     4     4096       256         32          0               1.41143        0.0101482


# one AMR level (4x)

# MPI    OMP    cores     nodes     max_grid    max_level    avg-time-per-step    stddev
  256     4     1024        64         32          1                30.104        0.950528
  512     4     2048       128         32          1                19.718        0.659894
 1024     4     4096       256         32          1                14.0598       0.769543
 2048     4     8192       512         32          1                13.5301       0.882619
 4096     4    16384      1024         32          1                20.897        1.73552


# two AMR level (4x, 2x)

# MPI    OMP    cores     nodes     max_grid    max_level    avg-time-per-step    stddev
  256     4     1024        64         32          2               104.924        2.2645
  512     4     2048       128         32          2                68.8377       1.26659
 1024     4     4096       256         32          2                46.0887       1.44635
 2048     4     8192       512         32          2                44.116        1.78023
 2048     8    16384      1024         32          2                43.7937       2.36656


