# this was run on 2017-10-07 using the wdmerger problem in 3-d on
# cori knl 

# problem size: 256^3, max_grid_size=32
# single level: 512 boxes at max

# MPI    OMP    cores     nodes     max_grid    nzones    max_level    avg-time-per-step    
  128    16      2048        8         32         256        0              5.71698        
  256    16      4096       16         32         256        0              3.30924       
  512    16      8192       32         32         256        0              2.19336       
  

# one AMR level (2x)

# MPI    OMP    cores     nodes     max_grid    nzones    max_level    avg-time-per-step    
  128    16     2048        8         32         256        1               20.9518         
  256    16     4096       16         32         256        1               16.7221         
  512    16     8192       32         32         256        1               14.7324        

# problem size: 512^3, max_grid_size = 32
# single level: 4096 boxes at max

# MPI    OMP    cores     nodes     max_grid    nzones    max_level    avg-time-per-step    
  256    16     4096        16         32         512        0                22.5124    
  512    16     8192        32         32         512        0                12.6459       
 1024    16    16384        64         32         512        0                 7.81267       
 2048    16    32768       128         32         512        0                 5.68074      
 3072    16    49052       192         32         512        0                 5.6294     


# one AMR level (2x)
# MPI    OMP    cores     nodes     max_grid    nzones    max_level    avg-time-per-step    
  256    16     4096        16         32         512        1                55.1505  
  512    16     8192        32         32         512        1                37.8781
 1024    16    16384        64         32         512        1                28.5724
 2048    16    32768       128         32         512        1                23.9241    
 3072    16    49052       192         32         512        1                23.9855

#single level with intel compilers
# MPI    OMP    cores     nodes     max_grid    nzones    max_level    avg-time-per-step
#  256    16     4096        16         32         512        0               16.6178 
#  512    16     8192        32         32         512        0                9.92387
# 1024    16    16384        64         32         512        0                6.64496
# 2048    16    32768       128         32         512        0                5.62592 
# 3072    16    49052       192         32         512        0                5.74141 

