          time       sdc-iter          X(h1)         X(he4)         X(c12)         X(c14)         X(n13)         X(n14)         X(o16)         X(o18)         X(f18)        X(ne20)        X(ne21)        X(mg24)        X(al27)        X(si28)         X(p31)         X(s32)        X(cl35)        X(ar36)         X(k39)        X(ca40)        X(sc43)        X(ti44)         X(v47)        X(cr48)        X(mn51)        X(fe52)        X(co55)        X(ni56)       dXdt(h1)      dXdt(he4)      dXdt(c12)      dXdt(c14)      dXdt(n13)      dXdt(n14)      dXdt(o16)      dXdt(o18)      dXdt(f18)     dXdt(ne20)     dXdt(ne21)     dXdt(mg24)     dXdt(al27)     dXdt(si28)      dXdt(p31)      dXdt(s32)     dXdt(cl35)     dXdt(ar36)      dXdt(k39)     dXdt(ca40)     dXdt(sc43)     dXdt(ti44)      dXdt(v47)     dXdt(cr48)     dXdt(mn51)     dXdt(fe52)     dXdt(co55)     dXdt(ni56)          de/dt
     0.0997387              0      0.0101524      0.0517959    3.43683e-06    1.43563e-10    5.24269e-10     6.7809e-08    8.19616e-06    4.38469e-11    4.75744e-10    1.13502e-07    1.21316e-08    2.53842e-05    2.50738e-06      0.0174513     0.00029038      0.0205094    0.000747154      0.0126031     0.00152605      0.0178787    4.03385e-05    0.000467758    0.000354784     0.00267276      0.0231446      0.0257129       0.529194       0.285419        2.73035       -8.96577    -0.00128549   -7.42561e-10    0.000318352   -2.18163e-06    -0.00192362    9.54771e-10   -1.40951e-05   -1.45631e-05    1.97168e-05      -0.310336       0.341333       -60.4522        62.9885       -18.3487        16.3569       -5.54929        4.11254       -2.25723       0.432638     -0.0508314      0.0188301      -0.142194      -0.375577      -0.419176        6.04765        3.84548     -6.256e+18
     0.0997387              0      0.0101524      0.0517959    3.43683e-06    1.43563e-10    5.24269e-10     6.7809e-08    8.19616e-06    4.38469e-11    4.75744e-10    1.13502e-07    1.21316e-08    2.53842e-05    2.50738e-06      0.0174513     0.00029038      0.0205094    0.000747154      0.0126031     0.00152605      0.0178787    4.03385e-05    0.000467758    0.000354784     0.00267276      0.0231446      0.0257129       0.529194       0.285419        1.43131       -3.78591    1.71089e-05   -7.38504e-10    -0.00118515   -2.39185e-06    -0.00180994    9.49555e-10   -1.03635e-05    -1.4682e-05    1.56786e-05      -0.198745       0.214277       -25.3846        24.0731       -17.1069        15.0699       -5.45899        4.05019       -2.23391       0.408873     -0.0505775      0.0186113      -0.141971      -0.376598       -0.41771        6.03864        3.85401   -3.82977e+18
     0.0997387              0      0.0101524      0.0517958    3.43683e-06    1.43563e-10    5.24601e-10     6.7809e-08    8.19616e-06    4.38469e-11    4.75729e-10    1.13502e-07    1.21316e-08    2.53838e-05    2.50774e-06      0.0174513    0.000290446      0.0205094    0.000747171      0.0126031     0.00152606      0.0178787    4.03389e-05    0.000467758    0.000354784     0.00267276      0.0231446      0.0257129       0.529194       0.285419       -2330.15        9293.32        2.33799    6.54528e-09       -2.69976   -0.000379707       0.202226   -8.41531e-09     0.00668732   -0.000228136    -0.00723231         200.09       -227.832          62916       -69823.6        2211.67       -2294.84         156.62       -107.865        39.6248       -42.2449       0.405139      -0.374107       0.259632       -2.20909        2.21371       -10.1221        19.1576    4.35083e+21
     0.0997387              0      0.0101524      0.0517958    3.43683e-06    1.43563e-10    5.24435e-10     6.7809e-08    8.19616e-06    4.38469e-11    4.75736e-10    1.13502e-07    1.21316e-08     2.5384e-05    2.50756e-06      0.0174513    0.000290413      0.0205094    0.000747163      0.0126031     0.00152605      0.0178787    4.03387e-05    0.000467758    0.000354784     0.00267276      0.0231446      0.0257129       0.529194       0.285419       -1163.71        4642.18        1.16836    2.90137e-09       -1.34972   -0.000190944       0.100151   -3.73028e-09     0.00333662    -0.00012135     -0.0036063          99.89       -113.745        31427.8       -34880.3        1096.66       -1139.24        75.5353       -51.8762        18.6838       -20.9062       0.177154      -0.177639      0.0587193       -1.29234       0.897271       -2.03726        11.5015    2.17229e+21
     0.0997388              0      0.0101524      0.0517959    3.43682e-06    1.43563e-10    5.24268e-10    6.78089e-08    8.19614e-06    4.38469e-11    4.75743e-10    1.13502e-07    1.21316e-08    2.53841e-05    2.50739e-06      0.0174513    0.000290381      0.0205094    0.000747155      0.0126031     0.00152605      0.0178787    4.03385e-05    0.000467757    0.000354784     0.00267276      0.0231446      0.0257129       0.529194       0.285419        -47.965        192.295     0.00414867    2.86911e-10    -0.00584538    4.89111e-06    -0.00155851   -3.68835e-10    0.000259281   -7.69771e-05   -0.000309831        5.51154       -6.26254        1037.58       -1155.37        265.044       -297.914        70.0671       -71.5262        7.40172       -7.82314       0.232154      -0.365669      0.0841337      -0.615399     -0.0303907        4.62578        5.03432    8.85232e+19
     0.0997388              0      0.0101524       0.051796    3.43672e-06    1.43563e-10    5.24253e-10    6.78081e-08    8.19594e-06     4.3847e-11     4.7574e-10      1.135e-07    1.21315e-08    2.53835e-05    2.50732e-06      0.0174509    0.000290374      0.0205091    0.000747143      0.0126029     0.00152604      0.0178785    4.03382e-05    0.000467754    0.000354783     0.00267275      0.0231445      0.0257128       0.529195       0.285419      -0.187256        2.87833   -0.000581364   -1.41397e-09   -1.11505e-06    1.28272e-05    -0.00244141    1.81801e-09   -8.35888e-08   -8.80462e-05   -1.91433e-05      0.0286808    -0.00822853       -1.43549       -1.14584     -0.0802104       -2.39224       -1.08064       -3.75785        -1.6586     -0.0935248      0.0161447      -0.154274      0.0763697      -0.608925        0.22687         1.7663        7.61352   -1.41744e+18
     0.0997398              0      0.0101525      0.0517977     3.4358e-06    1.43562e-10    5.24116e-10    6.78003e-08    8.19396e-06    4.38481e-11    4.75699e-10    1.13475e-07    1.21307e-08     2.5378e-05    2.50684e-06      0.0174476    0.000290326      0.0205057    0.000747041      0.0126012     0.00152587      0.0178767    4.03351e-05     0.00046772    0.000354766     0.00267263      0.0231441      0.0257125         0.5292       0.285424      -0.028888        2.52086   -0.000613987   -1.31556e-09   -8.65927e-06    3.05456e-07    -0.00238135    1.69148e-09     3.7299e-07   -3.42832e-05   -8.93339e-07     0.00803968    -0.00923007      -0.405781       -1.76072       -2.76194      -0.542685       -2.52024      -0.394191       -2.83758     -0.0167018     -0.0511025     -0.0299721       -0.11067      -0.467678       -0.26737        3.52328        6.15561   -2.05754e+18
     0.0997491              0      0.0101533      0.0518144    3.42688e-06    1.43554e-10    5.22799e-10     6.7724e-08    8.17492e-06    4.38583e-11    4.75307e-10    1.13236e-07    1.21235e-08    2.53244e-05    2.50219e-06      0.0174152    0.000289863      0.0204735     0.00074606      0.0125851      0.0015243      0.0178588    4.03057e-05    0.000467394    0.000354606     0.00267152        0.02314       0.025709       0.529253       0.285464       -6.81841        29.4981   -1.86225e-05     2.0733e-10   -0.000773782    4.20732e-06    -0.00209468   -2.66517e-10    3.75087e-05    -5.0802e-05   -5.00711e-05        0.78549      -0.888397        145.866       -164.677        35.9102       -43.1183        8.44666       -11.3153      -0.911416       -1.13401     0.00567812      -0.105648     -0.0672434      -0.576119      -0.399369        4.87252        4.62874    1.06184e+19
      0.099769              0      0.0101551      0.0518506     3.4079e-06    1.43538e-10    5.19992e-10    6.75596e-08     8.1344e-06    4.38804e-11    4.74464e-10    1.12727e-07     1.2108e-08    2.52097e-05    2.49225e-06       0.017346    0.000288873      0.0204046    0.000743968      0.0125504     0.00152095      0.0178206    4.02434e-05    0.000466695    0.000354267     0.00266913      0.0231313      0.0257013       0.529367       0.285549       -42.5956        172.938     0.00427796    6.90656e-09    -0.00465134    2.86785e-05    -0.00294837   -8.87982e-09    0.000233505   -0.000188086   -0.000315441        4.88919       -5.49738        919.899       -1019.94        239.297       -266.562        60.9133          -69.2        4.59642       -6.99696       0.235433      -0.555926       0.319329      -0.557962      0.0886377        4.66596        4.06586    7.51286e+19
      0.099769              0      0.0101551      0.0518509    3.40813e-06    1.43538e-10    5.20026e-10    6.75597e-08    8.13489e-06    4.38803e-11    4.74462e-10    1.12734e-07     1.2108e-08    2.52109e-05    2.49238e-06      0.0173466    0.000288885      0.0204052    0.000743992      0.0125507     0.00152099      0.0178209    4.02442e-05      0.0004667    0.000354271     0.00266914      0.0231314      0.0257012       0.529368       0.285547        0.11181        1.57047    -0.00103121   -2.25979e-10    0.000118586   -3.42284e-07    -0.00192934    2.90594e-10    2.07457e-06    -2.2913e-05   -1.90691e-06     -0.0162888      0.0103128       -3.93402       0.583391        -3.2952      -0.135722        -1.5883      -0.162235       -1.80616     -0.0125027     -0.0317443     -0.0170022      -0.110724      -0.393048      -0.366435        5.99585        3.60042   -1.61926e+18
