          time          X(h1)         X(he4)         X(c12)         X(c14)         X(n13)         X(n14)         X(o16)         X(o18)         X(f18)        X(ne20)        X(ne21)        X(mg24)        X(al27)        X(si28)         X(p31)         X(s32)        X(cl35)        X(ar36)         X(k39)        X(ca40)        X(sc43)        X(ti44)         X(v47)        X(cr48)        X(mn51)        X(fe52)        X(co55)        X(ni56)       dXdt(h1)      dXdt(he4)      dXdt(c12)      dXdt(c14)      dXdt(n13)      dXdt(n14)      dXdt(o16)      dXdt(o18)      dXdt(f18)     dXdt(ne20)     dXdt(ne21)     dXdt(mg24)     dXdt(al27)     dXdt(si28)      dXdt(p31)      dXdt(s32)     dXdt(cl35)     dXdt(ar36)      dXdt(k39)     dXdt(ca40)     dXdt(sc43)     dXdt(ti44)      dXdt(v47)     dXdt(cr48)     dXdt(mn51)     dXdt(fe52)     dXdt(co55)     dXdt(ni56)          de/dt
     0.0997387      0.0102367      0.0532423    3.07357e-06    1.43427e-10    4.63446e-10    6.25174e-09    7.42368e-06    4.43309e-11    4.42913e-11    1.03448e-07    1.15287e-09    2.32073e-05    2.33064e-06       0.016197    0.000273867      0.0192529     0.00071264      0.0119581     0.00147189      0.0171477    3.92248e-05    0.000452386    0.000349021     0.00261311      0.0230376      0.0254112       0.532523       0.285045        7.31779       -27.6739     -0.0017173   -9.23071e-10    0.000822524   -6.56053e-08    -0.00141365    1.18681e-09    8.36737e-07    9.72466e-06   -8.77785e-07      -0.843351       0.936087       -159.066        172.306       -44.2326        45.2037       -12.1771        11.9526        -2.6445         1.1696     -0.0758763      0.0764291      -0.177259      -0.406014      -0.387712        5.83319        2.89169   -1.42486e+19
     0.0997387      0.0102367      0.0532423    3.07357e-06    1.43427e-10    4.63446e-10    6.25174e-09    7.42368e-06    4.43309e-11    4.42913e-11    1.03448e-07    1.15287e-09    2.32073e-05    2.33064e-06       0.016197    0.000273867      0.0192529     0.00071264      0.0119581     0.00147189      0.0171477    3.92248e-05    0.000452386    0.000349021     0.00261311      0.0230376      0.0254112       0.532523       0.285045        5.85704       -21.8493   -0.000313472   -9.18475e-10   -0.000798372   -6.02567e-08    -0.00129047     1.1809e-09    7.51318e-07    9.58971e-06   -7.86152e-07      -0.717432       0.792717        -119.64        128.554       -42.8298        43.7494       -12.0739         11.881       -2.61865        1.14334     -0.0755976      0.0761907      -0.177014      -0.407144       -0.38609        5.82302        2.90135   -1.15203e+19
     0.0997387      0.0102367      0.0532423    3.07357e-06    1.43427e-10     4.6397e-10    6.25174e-09    7.42368e-06    4.43309e-11    4.42919e-11    1.03448e-07    1.15286e-09    2.32068e-05    2.33124e-06      0.0161969    0.000273977      0.0192529    0.000712669      0.0119581      0.0014719      0.0171477    3.92255e-05    0.000452386    0.000349021     0.00261311      0.0230376      0.0254112       0.532523       0.285045       -3819.54        15231.5        3.67602    1.11195e-08       -4.24557    1.39465e-05       0.321289   -1.42965e-08   -0.000222944    -0.00034381    0.000239181        329.037       -374.663         103128        -114449        3630.67       -3764.74        258.108       -175.707        65.0652       -67.6066       0.654166      -0.548251       0.464345        -3.3671        3.86247       -20.8187        28.1779     7.1332e+21
     0.0997387      0.0102367      0.0532423    3.07357e-06    1.43427e-10    4.63708e-10    6.25174e-09    7.42368e-06    4.43309e-11    4.42916e-11    1.03448e-07    1.15286e-09    2.32071e-05    2.33094e-06      0.0161969    0.000273922      0.0192529    0.000712655      0.0119581     0.00147189      0.0171477    3.92252e-05    0.000452386    0.000349021     0.00261311      0.0230376      0.0254112       0.532523       0.285045       -1906.11        7601.94        1.83715    5.09823e-09       -2.12238    6.94047e-06       0.159938   -6.55486e-09   -0.000111054   -0.000167043    0.000119152        164.097       -186.864        51484.6       -57138.2        1793.22       -1859.77        122.965       -81.8771        31.2104       -33.2185       0.289145      -0.235911       0.143543       -1.88656        1.73738       -7.49277        15.5348    3.55948e+21
     0.0997387      0.0102367      0.0532423    3.07357e-06    1.43427e-10    4.63447e-10    6.25174e-09    7.42367e-06    4.43309e-11    4.42914e-11    1.03448e-07    1.15287e-09    2.32072e-05    2.33066e-06       0.016197    0.000273869      0.0192529    0.000712645      0.0119581      0.0014719      0.0171477     3.9225e-05    0.000452386    0.000349021     0.00261311      0.0230376      0.0254112       0.532523       0.285045        -103.08        410.191      0.0094004    5.76141e-10     -0.0118731    6.91317e-07   -0.000576173   -7.40748e-10   -1.18818e-05   -9.76738e-05    1.28251e-05        11.8549       -13.4769        2233.05       -2482.22        571.771       -638.472        150.736       -149.899        17.9154       -16.3241       0.430457      -0.579235       0.186212       -1.04133       0.411566      -0.645299        9.19015    1.92766e+20
     0.0997388      0.0102367      0.0532424    3.07352e-06    1.43426e-10    4.63439e-10    6.25174e-09    7.42361e-06    4.43309e-11    4.42914e-11    1.03447e-07    1.15287e-09    2.32069e-05     2.3306e-06      0.0161968    0.000273864      0.0192528    0.000712636       0.011958     0.00147189      0.0171477    3.92247e-05    0.000452385     0.00034902      0.0026131      0.0230376      0.0254112       0.532523       0.285046       -1.02219        5.43151   -0.000167158    1.00072e-10   -5.56036e-06   -1.32701e-07    -0.00240686   -1.28659e-10   -1.18253e-07   -0.000204369    3.37013e-07       0.117721     -0.0375935        2.47164       -4.93679        9.93465       -10.4683        6.15002       -15.5683       0.288086      -0.392278       0.172066      -0.455413       0.327953      -0.982974       0.377589       -6.88517        15.4805    7.59243e+17
     0.0997393      0.0102367       0.053243    3.07316e-06    1.43426e-10    4.63386e-10    6.25172e-09    7.42285e-06    4.43314e-11    4.42918e-11    1.03437e-07    1.15289e-09    2.32046e-05    2.33039e-06      0.0161954    0.000273843      0.0192514    0.000712591      0.0119574     0.00147182       0.017147    3.92235e-05    0.000452372    0.000349013     0.00261305      0.0230374       0.025411       0.532525       0.285048     -0.0961131        2.70993    0.000402706   -1.58033e-09   -1.74036e-06   -9.94545e-08    -0.00333138    2.03186e-09    -2.9295e-09   -7.40809e-05    1.52599e-07      0.0275682      0.0015995        1.57634      -0.168019       -1.93185      -0.109009       -6.18618      -0.853346       -3.76225    -0.00816676     -0.0726011     -0.0732289     -0.0500417      -0.871538      -0.555277       -2.58062        13.0058   -2.17782e+18
     0.0997439      0.0102369      0.0532486    3.06954e-06    1.43422e-10    4.62854e-10    6.25157e-09    7.41504e-06    4.43361e-11    4.42963e-11    1.03336e-07    1.15311e-09    2.31816e-05    2.32826e-06      0.0161817    0.000273632      0.0192377    0.000712139      0.0119505     0.00147108      0.0171394    3.92089e-05    0.000452226    0.000348928     0.00261255      0.0230349      0.0254096       0.532542       0.285073      -0.806453        4.41101   -0.000530589   -6.32025e-10   -0.000117462   -2.38723e-08    -0.00239733    8.12608e-10   -1.55217e-07   -3.15793e-05    2.16895e-07        0.10099      -0.114399        17.1268       -20.6777        1.72652       -5.51095       -1.16151       -1.74857       -3.76523      -0.140467     -0.0610645     -0.0489429      -0.146897      -0.671399      -0.359436        4.65087        7.19995    1.23715e+18
     0.0997538      0.0102375      0.0532604    3.06142e-06    1.43415e-10    4.61663e-10    6.25126e-09    7.39744e-06    4.43459e-11    4.43057e-11    1.03111e-07    1.15357e-09    2.31322e-05    2.32368e-06      0.0161521    0.000273176      0.0192079    0.000711151      0.0119353     0.00146946      0.0171225    3.91761e-05    0.000451907    0.000348743     0.00261149      0.0230297      0.0254069       0.532581       0.285125        -5.1305        22.0032    4.22897e-05   -6.37078e-10   -0.000768926   -2.38467e-08    -0.00204825    8.19105e-10   -8.39583e-07   -4.84516e-05    1.01528e-06       0.604458      -0.677073        108.818       -123.208        26.6072       -32.4362        6.05067       -8.99543       -1.14652      -0.814839    -0.00474939     -0.0775963      -0.059699      -0.408123      -0.301428        3.02315        6.15656    8.50232e+18
     0.0997538      0.0102374      0.0532597    3.06132e-06    1.43415e-10    4.61648e-10    6.25126e-09     7.3972e-06    4.43459e-11    4.43056e-11    1.03108e-07    1.15356e-09    2.31319e-05    2.32361e-06       0.016152     0.00027317      0.0192078    0.000711137      0.0119352     0.00146943      0.0171225    3.91753e-05    0.000451905    0.000348738     0.00261149      0.0230296       0.025407        0.53258       0.285128       0.417156       -0.34355   -0.000771903   -9.73269e-10   -4.76115e-05   -3.57734e-08    -0.00176451    1.25135e-09    6.14299e-09   -2.23756e-05    4.64933e-08     -0.0450559      0.0456931       -10.8968        8.73754       -5.19686        2.34702       -2.12443       0.432028       -1.76658      0.0701664     -0.0358047     -0.0120399      -0.113103      -0.525003      -0.294546        3.54129        5.76549   -1.31108e+18
