          time          X(h1)         X(he4)         X(c12)         X(c14)         X(n13)         X(n14)         X(o16)         X(o18)         X(f18)        X(ne20)        X(ne21)        X(mg24)        X(al27)        X(si28)         X(p31)         X(s32)        X(cl35)        X(ar36)         X(k39)        X(ca40)        X(sc43)        X(ti44)         X(v47)        X(cr48)        X(mn51)        X(fe52)        X(co55)        X(ni56)       dXdt(h1)      dXdt(he4)      dXdt(c12)      dXdt(c14)      dXdt(n13)      dXdt(n14)      dXdt(o16)      dXdt(o18)      dXdt(f18)     dXdt(ne20)     dXdt(ne21)     dXdt(mg24)     dXdt(al27)     dXdt(si28)      dXdt(p31)      dXdt(s32)     dXdt(cl35)     dXdt(ar36)      dXdt(k39)     dXdt(ca40)     dXdt(sc43)     dXdt(ti44)      dXdt(v47)     dXdt(cr48)     dXdt(mn51)     dXdt(fe52)     dXdt(co55)     dXdt(ni56)          de/dt
     0.0997387      0.0101095      0.0507097    2.81818e-06    1.43236e-10    4.21117e-10      2.841e-08    6.87236e-06    4.42571e-11    1.97401e-10    9.42215e-08    5.04594e-09    2.18794e-05    2.08317e-06      0.0158759    0.000253643      0.0190014    0.000664885      0.0118438     0.00138647      0.0171143     3.6366e-05    0.000445877    0.000330166      0.0026128      0.0223339      0.0258389       0.526496       0.294913        6.96379        -25.446   -0.000896209   -4.20854e-09    0.000423611    6.99625e-06   -0.000921881      5.411e-09    8.59246e-05    7.22802e-06    -0.00011074      -0.679546       0.767421       -149.678        163.371       -42.0198        43.9652       -11.7334        11.1875       -2.50191        1.20967     -0.0684457      0.0912787      -0.173342      0.0512217      -0.672082        5.01987        0.34637     -1.525e+19
     0.0997387      0.0101095      0.0507097    2.81818e-06    1.43236e-10    4.21117e-10      2.841e-08    6.87236e-06    4.42571e-11    1.97401e-10    9.42215e-08    5.04594e-09    2.18794e-05    2.08317e-06      0.0158759    0.000253643      0.0190014    0.000664885      0.0118438     0.00138647      0.0171143     3.6366e-05    0.000445877    0.000330166      0.0026128      0.0223339      0.0258389       0.526496       0.294913        5.11757       -18.0851     9.8358e-05    -4.2009e-09   -0.000720559    7.70844e-06   -0.000839754    5.40117e-09    7.39306e-05     7.0914e-06    -9.7815e-05      -0.542469       0.611311       -99.8535        108.078       -40.2148         42.092       -11.6039        11.0999       -2.46668        1.17367     -0.0680838      0.0909853      -0.173042      0.0498093      -0.670068        5.00725       0.358357   -1.18009e+19
     0.0997387      0.0101095      0.0507097    2.81818e-06    1.43236e-10    4.21402e-10      2.841e-08    6.87236e-06    4.42571e-11    1.97459e-10    9.42215e-08    5.04587e-09    2.18789e-05    2.08369e-06      0.0158758    0.000253753      0.0190014    0.000664914      0.0118438     0.00138648      0.0171143    3.63668e-05    0.000445877    0.000330167      0.0026128      0.0223339      0.0258389       0.526496       0.294913       -3611.94        14403.4        1.94863    1.07729e-08       -2.24235     0.00140301        0.16006   -1.38509e-08     -0.0234245   -0.000260583       0.025224        268.016       -305.235        97514.8        -108221        3496.09       -3627.73        242.176        -160.49         66.554       -69.3507       0.640819      -0.483742       0.415268       -2.71736        3.27505       -19.7146        23.8446    6.74558e+21
     0.0997387      0.0101095      0.0507097    2.81818e-06    1.43236e-10     4.2126e-10      2.841e-08    6.87236e-06    4.42571e-11     1.9743e-10    9.42215e-08    5.04591e-09    2.18792e-05    2.08343e-06      0.0158758    0.000253698      0.0190014    0.000664899      0.0118438     0.00138647      0.0171143    3.63664e-05    0.000445877    0.000330166      0.0026128      0.0223339      0.0258389       0.526496       0.294913       -1802.49        7188.98       0.973867     3.2822e-09       -1.12096    0.000705004      0.0795691   -4.21995e-09     -0.0116693   -0.000126678      0.0125567        133.668       -152.234        48682.5         -54029        1727.04       -1791.88        115.221       -74.6515         32.026       -34.0705       0.286186      -0.196232       0.120963       -1.33307        1.30149       -7.34734        12.0955    3.36517e+21
     0.0997387      0.0101095      0.0507097    2.81818e-06    1.43236e-10    4.21118e-10    2.84101e-08    6.87235e-06    4.42571e-11    1.97402e-10    9.42215e-08    5.04589e-09    2.18794e-05    2.08319e-06      0.0158759    0.000253646      0.0190014     0.00066489      0.0118438     0.00138648      0.0171143    3.63662e-05    0.000445877    0.000330167      0.0026128      0.0223339      0.0258389       0.526496       0.294913       -97.3587        388.599      0.0048052    1.46693e-08    -0.00608137    2.55714e-05    -0.00049272   -1.88605e-08    -0.00123064   -4.64405e-05     0.00139738        9.63047       -10.9682        2105.33       -2339.11        552.071       -616.318        141.036        -138.95          18.11       -16.7458       0.426675      -0.556493       0.190632      -0.454426      -0.042917        4.63416        0.47928     1.8017e+20
     0.0997388      0.0101095      0.0507098    2.81816e-06    1.43236e-10    4.21113e-10    2.84107e-08    6.87231e-06    4.42572e-11    1.97403e-10    9.42211e-08    5.04599e-09    2.18792e-05    2.08316e-06      0.0158758    0.000253642      0.0190013    0.000664882      0.0118438     0.00138647      0.0171143     3.6366e-05    0.000445876    0.000330167     0.00261279      0.0223339      0.0258389       0.526496       0.294913      -0.634248        5.72793   -0.000232524    2.11463e-08   -1.83119e-06   -7.12217e-05    -0.00121539   -2.71881e-08   -2.66688e-06    -0.00011694    0.000109944      0.0429946     -0.0368755        2.81415       -4.81649        9.09703       -10.3336        8.73748       -14.5008     -0.0692205      -0.412674       0.176376      -0.475501       0.404328      -0.703191       0.517379        12.2676       -7.80112   -2.75293e+18
     0.0997393      0.0101096      0.0507108    2.81793e-06    1.43236e-10    4.21081e-10    2.84166e-08    6.87182e-06    4.42575e-11    1.97449e-10    9.42152e-08    5.04722e-09    2.18777e-05    2.08306e-06      0.0158747     0.00025363      0.0190002    0.000664858      0.0118432     0.00138643      0.0171137    3.63656e-05    0.000445866    0.000330164     0.00261275      0.0223339      0.0258386       0.526499       0.294912        0.11618        3.14221   -3.19371e-05    1.90236e-09   -1.12718e-06   -1.07514e-05    -0.00151364   -2.44587e-09    3.62755e-07    -5.1991e-05    1.57039e-05     0.00483324    -0.00105561       0.494034      -0.301625       -1.18335      -0.119444       -3.41768      -0.511528       -2.56101    -0.00677312     -0.0459652     -0.0576675       0.122512     0.00948898        0.57613        7.90217       -4.15986   -4.72695e+18
     0.0997432        0.01011      0.0507191    2.81614e-06    1.43234e-10    4.20827e-10    2.84639e-08     6.8679e-06    4.42605e-11      1.978e-10    9.41695e-08     5.0567e-09    2.18661e-05    2.08227e-06      0.0158666    0.000253541      0.0189919     0.00066467      0.0118389     0.00138613      0.0171087    3.63616e-05    0.000445782    0.000330147     0.00261243      0.0223337      0.0258369       0.526522       0.294909      -0.842276         6.1657   -0.000320861   -3.50833e-10   -5.75263e-05   -1.25908e-06     -0.0010226    4.51091e-10   -1.17331e-05   -1.43604e-05    1.55773e-05      0.0892326      -0.103921        18.5566       -22.1995        3.44525       -6.03014       0.241801        -1.6209       -1.58881      -0.168447     -0.0236436     -0.0217788     -0.0819344      -0.089774      -0.372885        5.37207      -0.725194   -1.70069e+18
     0.0997716      0.0101128      0.0507804    2.80307e-06    1.43218e-10    4.18962e-10    2.88119e-08    6.83933e-06    4.42827e-11    2.00383e-10    9.38366e-08    5.12634e-09    2.17805e-05    2.07645e-06      0.0158071    0.000252883      0.0189307    0.000663297      0.0118076     0.00138396      0.0170723    3.63337e-05    0.000445172    0.000330018     0.00261002      0.0223324      0.0258239       0.526695       0.294883       -51.0519        206.805     0.00282776    2.57477e-08    -0.00308113   -5.34846e-05    -0.00135035   -3.31041e-08   -0.000646787   -0.000147746    0.000834812        5.02755       -5.70844        1097.43          -1217        294.996       -327.699        78.2461        -83.838         8.1031       -9.00643       0.337028      -0.725297       0.602713       -1.04595        1.50014        9.63548       -6.61199    9.00254e+19
     0.0997716      0.0101128      0.0507795    2.80306e-06    1.43217e-10    4.18961e-10    2.88118e-08    6.83931e-06    4.42827e-11    2.00385e-10    9.38355e-08    5.12639e-09    2.17803e-05    2.07639e-06      0.0158071    0.000252878      0.0189307    0.000663284      0.0118076     0.00138394      0.0170723    3.63329e-05    0.000445171    0.000330013     0.00261002      0.0223322      0.0258241       0.526693       0.294886       0.834823      -0.994165   -0.000431881   -2.17459e-09   -2.20435e-05     1.9171e-08   -0.000966683    2.79592e-09    6.51878e-06   -9.60234e-06     -7.634e-06     -0.0653989       0.070969       -18.1314        17.7925       -6.60765        4.91678       -2.32307        1.23524       -1.37549       0.120762     -0.0250418     0.00207633     -0.0913367      -0.127195      -0.395155         4.7151       0.449068   -4.01683e+18
