#   COLUMN 1                        2                        3                        4                        5                        6                        7                        8                        9
#   TIMESTEP                     TIME                 Mass He4                 Mass C12                 Mass O16                Mass Ne20                Mass Mg24                Mass Si28                Mass Ni56
           0       0.0000000000000000   1.9906567241755660e-14   6.2461721550797628e-23   6.2461721550797628e-23   6.2461721550797628e-23   6.2461721550797628e-23   6.2461721550797628e-23   6.0471064832868221e-13
#   COLUMN 1                        2                        3                        4                        5                        6                        7                        8                        9
#   TIMESTEP                     TIME                 Mass He4                 Mass C12                 Mass O16                Mass Ne20                Mass Mg24                Mass Si28                Mass Ni56
           0       0.0000000000000000   1.9906567241755660e-14   6.2461721550797628e-23   6.2461721550797628e-23   6.2461721550797628e-23   6.2461721550797628e-23   6.2461721550797628e-23   6.0471064832868221e-13
          10   3.7184293239159246e-07   1.9906561876766413e-14   5.4274442421423323e-21   6.2473698020580792e-23   6.2461787029113997e-23   6.2462005326986838e-23   6.2461860670092866e-23   6.0471064832868231e-13
          20   1.3363077346237603e-06   1.9906547973088721e-14   1.9331010076368200e-20   6.2616222891199610e-23   6.2463413704871935e-23   6.2462753643372656e-23   6.2462225787474540e-23   6.0471064832868221e-13
          30   3.0205189163063372e-06   1.9906523817207027e-14   4.3486333742619177e-20   6.3236882198339890e-23   6.2479538791654956e-23   6.2464435721580161e-23   6.2462877804352769e-23   6.0471064832868231e-13
          40   4.6830085049997337e-06   1.9906500298593546e-14   6.7003934867943419e-20   6.4283346404472166e-23   6.2524966362906944e-23   6.2467642580511331e-23   6.2463552357506448e-23   6.0471064832868251e-13
          50   6.2079444805831727e-06   1.9906479127785587e-14   8.8173423394015785e-20   6.5593137246051619e-23   6.2603413523231611e-23   6.2473496265045290e-23   6.2464236144060684e-23   6.0471064832868231e-13
          60   7.7551123591906850e-06   1.9906458091231556e-14   1.0920827227155247e-19   6.7238526737685509e-23   6.2727840576209250e-23   6.2484185243507054e-23   6.2465062943878652e-23   6.0471064832868251e-13
          70   9.4135080122602081e-06   1.9906436073759493e-14   1.3122352806513791e-19   6.9329768798766261e-23   6.2919697105440118e-23   6.2503434317171661e-23   6.2466218724681033e-23   6.0471064832868251e-13
