# 1-d slice in y-direction, file: flame_wave_1000Hz_25cm_plt00000
# time =                    0
#                       y                  density                     Temp                   X(He4)                  X(Ni56)
                        8                 34793904                200475504    1.000000013351432e-10                        1
                       24                 34361648                200797184    1.000000013351432e-10                        1
                       40                 33931696                200287808    1.000000013351432e-10                        1
                       56                 33506172                200624784    1.000000013351432e-10                        1
                       72                 33083746                200762576    1.000000013351432e-10                        1
                       88                 32663600                200062400    1.000000013351432e-10                        1
                      104                 32248482                200734512    1.000000013351432e-10                        1
                      120                 31835778                200684656    1.000000013351432e-10                        1
                      136                 31425820                200187744    1.000000013351432e-10                        1
                      152                 31020504                200803248    1.000000013351432e-10                        1
                      168                 30617424                200563552    1.000000013351432e-10                        1
                      184                 30217694                200402512    1.000000013351432e-10                        1
                      200                 29821922                200831216    1.000000013351432e-10                        1
                      216                 29428362                200398336    1.000000013351432e-10                        1
                      232                 29038742                200578128    1.000000013351432e-10                        1
                      248                 28652404                200816224    1.000000013351432e-10                        1
                      264                 28268258                200187008    1.000000013351432e-10                        1
                      280                 27888628                200712752    1.000000013351432e-10                        1
                      296                 27511626                200757552    1.000000013351432e-10                        1
                      312                 27136950                200069408    1.000000013351432e-10                        1
                      328                 26767038                200805760    1.000000013351432e-10                        1
                      344                 26399266                200654928    1.000000013351432e-10                        1
                      360                 26034406                200313440    1.000000013351432e-10                        1
                      376                 25673642                200856544    1.000000013351432e-10                        1
                      392                 25314996                200505744    1.000000013351432e-10                        1
                      408                 24959832                200516704    1.000000013351432e-10                        1
                      424                 24608114                200862992    1.000000013351432e-10                        1
                      440                 24258492                200309680    1.000000013351432e-10                        1
                      456                 23912908                200678128    1.000000013351432e-10                        1
                      472                 23570132                200825552    1.000000013351432e-10                        1
                      488                 23229434                200065408    1.000000013351432e-10                        1
                      504                 22893308                200797360    1.000000013351432e-10                        1
                      520                 22559372                200741360    1.000000013351432e-10                        1
                      536                 22227934                200205888    1.000000013351432e-10                        1
                      552                 21900708                200872080    1.000000013351432e-10                        1
                      568                 21575510                200610144    1.000000013351432e-10                        1
                      584                 21253356                200439072    1.000000013351432e-10                        1
                      600                 20934788                200902800    1.000000013351432e-10                        1
                      616                 20618224                200430720    1.000000013351432e-10                        1
                      632                 20305236                200629744    1.000000013351432e-10                        1
                      648                 19995220                200886752    1.000000013351432e-10                        1
                      664                 19687186                200200976    1.000000013351432e-10                        1
                      680                 19383248                200776016    1.000000013351432e-10                        1
                      696                 19081682                200823280    1.000000013351432e-10                        1
                      712                 18782226                200077952    1.000000013351432e-10                        1
                      728                 18487072                200878144    1.000000013351432e-10                        1
                      744                 18193854                200711408    1.000000013351432e-10                        1
                      760                 17903270                200343472    1.000000013351432e-10                        1
                      776                 17616382                200933296    1.000000013351432e-10                        1
                      792                 17331410                200549104    1.000000013351432e-10                        1
                      808                 17049582                200564976    1.000000013351432e-10                        1
                      824                 16770861                200941120    1.000000013351432e-10                        1
                      840                 16494031                200335744    1.000000013351432e-10                        1
                      856                 16220843                200741776    1.000000013351432e-10                        1
                      872                 15950183                200899872    1.000000013351432e-10                        1
                      888                 15681393                200068928    1.000000013351432e-10                        1
                      904                 15416727                200871424    1.000000013351432e-10                        1
                      920                 15154028                200808528    1.000000013351432e-10                        1
                      936                 14893581                200227456    1.000000013351432e-10                        1
                      952                 14636918                200954400    1.000000013351432e-10                        1
                      968                 14382077                200665440    1.000000013351432e-10                        1
                      984                 14129977                200482624    1.000000013351432e-10                        1
                     1000                 13881092                200987328    1.000000013351432e-10                        1
                     1016                 13634008                200469008    1.000000013351432e-10                        1
                     1032                 13390139                200691280    1.000000013351432e-10                        1
                     1048                 13148932                200970720    1.000000013351432e-10                        1
                     1064                 12909502                200217760    1.000000013351432e-10                        1
                     1080                 12673749                200852128    1.000000013351432e-10                        1
                     1096                 12440116                200901328    1.000000013351432e-10                        1
                     1112                 12208377                200088144    1.000000013351432e-10                        1
                     1128                 11980487                200963904    1.000000013351432e-10                        1
                     1144                 11754328                200779120    1.000000013351432e-10                        1
                     1160                 11530531                200379824    1.000000013351432e-10                        1
                     1176                 11310035                201025008    1.000000013351432e-10                        1
                     1192                 11091249                200601088    1.000000013351432e-10                        1
                     1208                 10875278                200623216    1.000000013351432e-10                        1
                     1224                 10662076                201034064    1.000000013351432e-10                        1
                     1240                 10450563                200366656    1.000000013351432e-10                        1
                     1256                 10242304                200817920    1.000000013351432e-10                        1
                     1272                 10036295                200989328    1.000000013351432e-10                        1
                     1288                  9831953                200073152    1.000000013351432e-10                        1
                     1304                  9631291                200961072    1.000000013351432e-10                        1
                     1320                  9432375                200889248    1.000000013351432e-10                        1
                     1336                  9235469                200253584    1.000000013351432e-10                        1
                     1352                  9041926                201052528    1.000000013351432e-10                        1
                     1368                  8850003                200731696    1.000000013351432e-10                        1
                     1384                  8660522                200535120    1.000000013351432e-10                        1
                     1400                  8473894                201089792    1.000000013351432e-10                        1
                     1416                  8288866                200515408    1.000000013351432e-10                        1
                     1432                  8106697                200766112    1.000000013351432e-10                        1
                     1448                  7926885                201071520    1.000000013351432e-10                        1
                     1464                  7748651                200237792    1.000000013351432e-10                        1
                     1480                7573681.5                200944096    1.000000013351432e-10                        1
                     1496                  7400587                200995824    1.000000013351432e-10                        1
                     1512                7229174.5                200100608    1.000000013351432e-10                        1
                     1528                7061166.5                201068368    1.000000013351432e-10                        1
                     1544                6894691.5                200860176    1.000000013351432e-10                        1
                     1560                6730309.5                200423744    1.000000013351432e-10                        1
                     1576                6568844.5                201136720    1.000000013351432e-10                        1
                     1592                  6408891                200663808    1.000000013351432e-10                        1
                     1608                  6251429                200694384    1.000000013351432e-10                        1
                     1624                  6096409                201146640    1.000000013351432e-10                        1
                     1640                5942880.5                200403920    1.000000013351432e-10                        1
                     1656                5792227.5                200910720    1.000000013351432e-10                        1
                     1672                  5643557                201097616    1.000000013351432e-10                        1
                     1688                5496356.5                200078240    1.000000013351432e-10                        1
                     1704                  5352404                201070416    1.000000013351432e-10                        1
                     1720                  5209987                200986880    1.000000013351432e-10                        1
                     1736                5069343.5                200285568    1.000000013351432e-10                        1
                     1752                4931658.5                201172416    1.000000013351432e-10                        1
                     1768                  4795401                200811920    1.000000013351432e-10                        1
                     1784                  4661295                200599824    1.000000013351432e-10                        1
                     1800                4529696.5                201214464    1.000000013351432e-10                        1
                     1816                4399504.5                200571040    1.000000013351432e-10                        1
                     1832                  4271830                200857408    1.000000013351432e-10                        1
                     1848               4146224.25                201194592    1.000000013351432e-10                        1
                     1864               4021923.25                200252560   5.2097009756835178e-05      0.99994790554046631
                     1880                3899645.5                201018304   0.00063891184981912374      0.99936109781265259
                     1896                  3776747                200665152    0.0028767136391252279      0.99712330102920532
                     1912               3653289.25                200071472    0.0066009997390210629      0.99339902400970459
                     1928                  3513864                194309280     0.032014697790145874      0.96798533201217651
                     1944               3364058.25                177807504      0.10484644770622253      0.89515358209609985
                     1960               3199651.25                194883344      0.24726177752017975      0.75273823738098145
                     1976               3039737.25                194543920       0.5182526707649231       0.4817473292350769
                     1992               2892538.25                199896368       0.7713286280632019      0.22867138683795929
                     2008                2776430.5                199926144      0.91243994235992432      0.08756004273891449
                     2024               2676689.25                200330096      0.97135967016220093      0.02864033542573452
                     2040               2585427.25                199193568       0.9939073920249939    0.0060926317237317562
                     2056                  2504883                193057760      0.99758225679397583    0.0024177441373467445
                     2072               2424434.75                188090784       0.9994359016418457   0.00056409428361803293
                     2088                  2344099                183596048                        1    1.000000082740371e-10
                     2104               2265494.25                180255296                        1    1.000000082740371e-10
                     2120                2187861.5                176510832                        1    1.000000082740371e-10
                     2136               2111355.25                172531568                        1    1.000000082740371e-10
                     2152              2036728.875                169190608                        1    1.000000082740371e-10
                     2168              1963012.125                165356128                        1    1.000000082740371e-10
                     2184                1890670.5                161590992                        1    1.000000082740371e-10
                     2200                1819931.5                158180208                        1    1.000000082740371e-10
                     2216              1750094.625                154240336                        1    1.000000082740371e-10
                     2232              1681876.875                150714544                        1    1.000000082740371e-10
                     2248              1614990.875                147220704                        1    1.000000082740371e-10
                     2264              1548999.875                143156624                        1    1.000000082740371e-10
                     2280                  1484869                139900704                        1    1.000000082740371e-10
                     2296              1421804.625                136307376                        1    1.000000082740371e-10
                     2312                1359704.5                132213728                        1    1.000000082740371e-10
                     2328                  1299552                129147088                        1    1.000000082740371e-10
                     2344               1240281.75                125433752                        1    1.000000082740371e-10
                     2360              1182221.125                121601176                        1    1.000000082740371e-10
                     2376              1125844.125                118450144                        1    1.000000082740371e-10
                     2392                  1070345                114590776                        1    1.000000082740371e-10
                     2408              1016299.875                111061328                        1    1.000000082740371e-10
                     2424               963680.375                107804864                        1    1.000000082740371e-10
                     2440              911935.8125                103765288                        1    1.000000082740371e-10
                     2456              861890.1875                100593240                        1    1.000000082740371e-10
                     2472               813017.375                 97203776                        1    1.000000082740371e-10
                     2488              765018.1875                 92938392                        1    1.000000082740371e-10
                     2504              718967.0625                 90195632                        1    1.000000082740371e-10
                     2520              673840.0625                 86635208                        1    1.000000082740371e-10
                     2536               629788.625                 82590264                        1    1.000000082740371e-10
                     2552              587540.3125                 79865616                        1    1.000000082740371e-10
                     2568                546171.25                 76081368                        1    1.000000082740371e-10
                     2584             506136.03125                 72451896                        1    1.000000082740371e-10
                     2600             467667.21875                 69598776                        1    1.000000082740371e-10
                     2616               430086.375                 65513340                        1    1.000000082740371e-10
                     2632               394111.375                 62421964                        1    1.000000082740371e-10
                     2648              359472.4375                 59387376                        1    1.000000082740371e-10
                     2664             325735.90625                 54881140                        1    1.000000082740371e-10
                     2680                293902.75                 52518644                        1    1.000000082740371e-10
                     2696             263180.40625                 49217728                        1    1.000000082740371e-10
                     2712            233466.359375                 44457916                        1    1.000000082740371e-10
                     2728             205834.15625                 42778792                        1    1.000000082740371e-10
                     2744                179173.25                 39063228                        1    1.000000082740371e-10
                     2760            153849.890625                 34964512                        1    1.000000082740371e-10
                     2776               130456.875                 33290312                        1    1.000000082740371e-10
                     2792           108107.0234375                 28854086                        1    1.000000082740371e-10
                     2808            87521.9921875                 25914226                        1    1.000000082740371e-10
                     2824               68762.5625                 24260882                        1    1.000000082740371e-10
                     2840            51165.8828125                 18408882                        1    1.000000082740371e-10
                     2856            35983.2421875                 18451242                        1    1.000000082740371e-10
                     2872             22666.078125                 17483828                        1    1.000000082740371e-10
                     2888            10783.7578125                  8431451                        1    1.000000082740371e-10
                     2904        3776.223388671875                 22057086                        1    1.000000082740371e-10
                     2920   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     2936   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     2952   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     2968   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     2984   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3000   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3016   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3032   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3048   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3064   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3080   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3096   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3112   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3128   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3144   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3160   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3176   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
